"CCMM","AMA","SSNAL"
0,0,1.10600987727746e-25
1608.12721439605,1608.94023262031,1607.93606154119
2747.38325269889,2749.18233666425,2747.14708596383
3769.2074511666,3773.09066283927,3768.91205421796
4706.81655967231,4712.46812175336,4706.48242250815
5574.48536779288,5582.02595121629,5574.00913879695
6382.59425619751,6392.26428544372,6382.11242262062
7138.1470340482,7150.12911060296,7137.61754147093
7846.36468865653,7860.828487528,7845.87377739519
8512.76934849494,8528.93468748612,8512.14963713196
9142.02096509056,9159.51548251965,9141.21448852052
9736.88483525408,9756.79948998747,9736.41683448377
10300.9426672999,10319.8461663971,10300.4029737648
10836.8117222654,10857.0171766606,10836.2222549899
11348.0101009556,11370.9035039925,11347.3925845821
11836.2967876211,11859.624397497,11835.8241881196
12303.3196687083,12328.0825428112,12302.5565728698
12750.2149376481,12774.8378861814,12749.1465866093
13177.8603532174,13204.2874258416,13177.2179642427
13588.7947072922,13616.1899128696,13587.6572882207
13981.5317750036,14010.9758562647,13980.9533368086
14358.5403947133,14388.4720060265,14357.8368805612
14719.9620983226,14751.3302955819,14719.2610371728
15066.6474219698,15099.298768421,15065.6036377206
15397.8469235675,15433.2281675095,15397.1597006341
15714.9277279083,15752.3392082537,15714.1095555347
16017.7805530911,16055.0565121543,16016.837710984
16306.8031253616,16344.3907486464,16305.8038542635
16582.7940199571,16621.4461096544,16581.5692397043
16845.1728709198,16885.9188847294,16844.4422434214
17095.8724093097,17137.5125326103,17094.6692088554
17332.9722449618,17372.3492308234,17332.6211221811
17559.7682239619,17600.8267213371,17558.9113133401
17774.2061932499,17816.9709143247,17773.8431462593
17977.9285806038,18021.4801119768,17977.568125184
18171.1400569232,18215.390494209,18170.3505342896
18352.8298793164,18398.2937288181,18352.4113183571
18525.3739397462,18572.7703634353,18523.9739214116
18685.9633689986,18734.675782639,18685.7381341655
18838.5615328422,18888.1227670056,18838.0626987181
18981.2726867167,19035.6434875632,18981.0586472965
19115.4464709044,19168.0326423788,19115.0346155901
19241.5076313124,19288.8651884248,19241.0426632508
19360.5927765543,19404.499748543,19359.8164360226
19472.4564626411,19515.7811835029,19471.9428286216
19578.5190478477,19618.7443158478,19578.3829346006
19680.0538877004,19718.4993151416,19679.8609781693
19777.3093379953,19814.9398509932,19777.1014926041
19870.858550958,19906.5972581754,19870.4255973591
19960.3898037317,19994.4538176238,19960.1484714088
20047.3651554792,20075.2666653172,20047.0849398622
20132.3201576497,20158.2665761431,20132.0172486279
20215.2646010206,20241.6001109442,20215.2375495995
20296.9428800558,20322.5196957838,20296.9150191869
20377.1794002679,20401.8472465475,20377.1038136884
20456.2224596768,20474.1310307941,20456.0477096774
20534.2575033849,20551.3126464184,20534.0567719585
20611.8046239904,20628.7157097821,20611.2648998285
20688.5945042484,20705.4013342366,20687.6698733559
20763.2173359996,20781.1577542642,20763.271954478
20838.0177056862,20856.4091874121,20838.0714202225
20912.0159169131,20930.515768864,20912.0685947285
20985.2112426363,21004.2256323621,20985.2531059397
21057.6027621646,21076.7030592523,21057.6450695164
21129.1944842748,21148.2723841438,21129.2353086235
21199.9863894042,21219.5875804342,21200.0240691284
21269.9772488049,21291.0693423442,21270.011590039
21339.1675439243,21360.4792514211,21339.1981018469
21407.5611506236,21429.9209395183,21407.5838026992
21475.1388820684,21496.9079716798,21475.17804937
21541.9418846754,21563.7789508575,21541.9597063436
21607.9806018901,21628.1642338137,21607.972722559
21673.3824751248,21693.1270713621,21673.330585149
21738.0944569065,21758.1058220799,21738.0573072438
21802.0824424217,21822.4747822166,21802.1492170096
21865.538429841,21886.2026838606,21865.6063100108
21928.3606112302,21949.2976285852,21928.4285880427
21990.5469663877,22011.7458067459,21990.6160505867
22052.0990094504,22073.5719787251,22052.1686972183
22113.0162791437,22134.7591254694,22113.0865281355
22173.2981766119,22195.324802975,22173.3695432767
22232.9463471236,22255.2429642506,22233.0177431442
22291.9586669691,22314.5368864813,22292.0311268192
22350.3366993972,22373.1949368883,22350.4096947262
22408.0793690919,22431.2040792652,22408.1534466213
22465.1877375219,22488.6104865992,22465.2623830639
22521.6613490079,22545.3748598449,22521.7365036272
22577.4995914697,22601.5017171817,22577.5758109637
22632.7035908923,22656.9821700575,22632.7803047505
22687.2728373843,22711.8614573519,22687.3382784727
22741.2063175155,22766.082667101,22741.273028901
22794.5065402873,22819.691157019,22794.5634613017
22847.1706840686,22872.6560744859,22847.2175189792
22899.2003967625,22924.9806644388,22899.2475902752
22950.5958839494,22976.6854985749,22950.6428453449
23001.3561091654,23027.7741619776,23001.4032845927
23051.4820906298,23078.2080519151,23051.5289080231
23100.9718066878,23128.011346808,23101.0197156418
23149.8290648196,23177.1848007572,23149.875707454
23198.0482745426,23225.7519107864,23198.0968834662
23245.6359465357,23273.6622281071,23245.6832436846
23292.5864475392,23320.9330560438,23292.6347881158
23338.9029867291,23367.5937711121,23338.951516767
23384.5843084481,23413.6310382433,23384.6334296461
23429.632459294,23459.0190473214,23429.6683074381
23474.0424977128,23503.7963907947,23474.0804780898
23517.8210701427,23547.9146220887,23517.8578123526
23560.9631650673,23591.4338182991,23561.0003542725
23603.4714041636,23634.3095461769,23603.5080810936
23645.3439627211,23676.5445642817,23645.3686244627
23686.5826569134,23718.1645779258,23686.6066203832
23727.1860040732,23759.1553919212,23727.2098002809
23767.1533734684,23799.5260950072,23767.1781635417
23806.4854886063,23839.2544871549,23806.51170775
23845.1855805032,23878.3637271561,23845.2104362453
23883.2498259311,23916.8228889488,23883.2743490424
23920.6800809534,23954.7008501499,23920.7034461553
23957.4757725634,23991.9037645309,23957.4977232456
23993.6351239632,24028.5146367879,23993.657167941
24029.1596853886,24064.4655847676,24029.1817898911
24064.0523537941,24099.8295376107,24064.0715918638
24098.3081703912,24134.5331380888,24098.326577372
24131.9288605677,24168.6115494539,24131.9467127389
24164.9143970401,24202.041968343,24164.9319725742
24197.2644020885,24234.8833470589,24197.2823930027
24228.9834391096,24267.0634049764,24228.9979802033
24260.0643351089,24298.6081693768,24260.0787010134
24290.5104735882,24329.5024188717,24290.5154669981
24320.3226199878,24359.7663493534,24320.3264214947
24349.500694474,24389.3265877162,24349.5025307366
24378.0444630428,24418.2947274774,24378.043809249
24405.9535803669,24446.6427287197,24405.9502547086
24433.2283690979,24474.3681589365,24433.2218559555
24459.8675984587,24501.5804781144,24459.8586620641
24485.8740053559,24528.1742632911,24485.8606848889
24511.2448509874,24554.1179071298,24511.2280132147
24535.9800365189,24579.455074808,24535.9607905165
24560.0850795424,24604.5390587199,24560.0592190579
24583.5562765286,24628.4583276158,24583.5236033541
24606.3919950656,24651.1022033749,24606.3471045356
24628.5962810242,24672.3942122037,24628.5404957586
24650.1723394347,24695.6968416302,24650.099052225
24671.087380612,24714.4609195085,24671.0223271121
24691.4624150691,24732.9499904367,24691.3181134495
24711.1582838626,24750.9108482623,24711.0577557213
24730.4030396964,24770.4554439177,24730.2612460062
24749.0490840305,24789.257605101,24748.9281029207
24767.1724092747,24807.8259015186,24767.0586370427
24784.6964745975,24826.3753287381,24784.6533151052
24801.761752809,24843.7975725563,24801.7115821161
24818.2997978643,24860.2925446543,24818.2331750407
24834.2994493233,24879.0924969105,24834.2189034423
24849.7734097519,24892.6744946366,24849.6717282914
24864.6856596717,24905.880939647,24864.5874585582
24879.1720048369,24917.0844298333,24878.9948891737
24893.0763825369,24931.3143418747,24892.9546541724
24906.6223982672,24947.0094925168,24906.4635203297
24919.682576858,24960.1210813302,24919.5222634378
24932.2919899395,24973.2359467979,24932.1232338214
24944.4007105507,24984.8481376493,24944.2770104768
24956.1061825269,24991.2659693028,24955.9855079284
24967.4810377495,24999.7023253709,24967.2848855031
24978.4111605288,25012.2210361211,24978.210826159
24988.971419267,25022.6960687702,24988.7658064475
24999.1671080365,25032.6165256941,24998.9523138836
25008.9738949815,25042.0606696391,25008.7565951231
25018.4692544412,25045.8103420149,25018.2275293598
25027.6364140886,25049.2077975154,25027.41970185
25036.6241070388,25057.9842615554,25036.3822283778
25045.3277453649,25067.0572679287,25045.116828663
25053.8034136325,25075.9539297101,25053.6235244107
25062.0587542785,25084.5894122647,25061.9022376936
25070.0325471411,25092.8623625793,25069.9530557873
25077.7936716526,25100.8315737654,25077.7758627937
25085.391954151,25108.4740733227,25085.3707096677
25092.7624519154,25116.258334064,25092.7376682628
25099.9104127288,25124.5221577996,25099.8765141754
25106.8294491605,25132.2057190075,25106.7873890751
25113.5245364969,25138.0116635559,25113.4706025546
25119.9925169343,25145.3424815707,25119.9307744829
25126.2424014715,25151.7593323917,25126.1501371162
25132.2742502279,25157.2371808594,25132.1474064586
25138.0922039063,25158.8598817471,25137.9217146845
25143.7143663233,25161.90698757,25143.5218534163
25149.1546222453,25168.5365402261,25148.9495001274
25154.4313478102,25173.0776396843,25154.2128211857
25159.5572054126,25172.6118377123,25159.3334562895
25164.5522539298,25177.468509017,25164.3412394515
25169.4293849081,25182.5808989511,25169.2399198033
25174.1338902706,25187.5479619754,25174.0295060865
25178.8018085153,25192.3376876391,25178.7100012256
25183.3630143215,25197.0296369592,25183.2814018543
25187.7554645187,25201.8696639781,25187.743693378
25192.1108344164,25206.5993760804,25192.0968370218
25196.3614280405,25211.1238899739,25196.3408318092
25200.500345498,25215.2716641084,25200.4755743482
25204.5360405178,25219.5351273827,25204.5011123172
25208.4650259663,25223.5845142485,25208.4236477178
25212.2910480024,25227.6593229487,25212.227761754
25216.0159562828,25229.1148149085,25215.9265786513
25219.6473004424,25227.6086095582,25219.5294338041
25223.1960349395,25230.6914424789,25223.0757188935
25226.6700614826,25234.2347480347,25226.5633101319
25230.08497231,25237.7198607052,25229.9922082121
25233.4383743114,25241.1467126954,25233.3624131421
25236.740258643,25244.5153582195,25236.6739249247
25239.9801783297,25247.8258054722,25239.9267435655
25243.1057220585,25251.0779899808,25243.1208690725
25246.2414461676,25254.2719582436,25246.2563014516
25249.3185623761,25257.4077650474,25249.3330407059
25252.3370355276,25260.4853255111,25252.3510868412
25255.296857844,25263.5046379552,25255.3104398649
25258.1980294553,25266.46557801,25258.2110997833
25261.0388137441,25269.3681465645,25261.0530666013
25263.8237026566,25272.2122706199,25263.8363403297
25266.5475301164,25274.997971701,25266.5609209702
25269.2153332365,25277.72528391,25269.226808249
25271.8218144338,25280.3941440411,25271.8340022056
25274.3705399933,25283.0043583942,25274.3825030798
25276.8609029959,25285.555916481,25276.8723059416
25279.292731187,25288.0485515882,25279.3033976272
25281.6641771261,25290.4821151074,25281.6757922965
25283.9798334966,25292.8566672076,25283.9894925587
25286.2344299924,25295.1723429056,25286.2444995244
25288.4312895323,25297.4291931828,25288.4408131964
25290.5678064181,25299.627924407,25290.578435186
25292.648895192,25301.7684902341,25292.6573728363
25294.668714453,25303.8507902183,25294.6776182606
25296.6308420974,25305.8752328821,25296.6391708052
25298.5347162406,25307.8424793612,25298.5420311251
25300.3801583031,25309.7525031025,25300.3862056498
25302.1671131796,25311.6040842975,25302.1716817455
25303.8915673817,25313.3974170557,25303.8984605832
25305.5635840357,25315.1352237224,25305.5665434251
25307.1717371903,25316.8201998004,25307.175916495
25308.7230683609,25318.456668227,25308.7265936269
25310.2165689838,25320.0482558783,25310.2185843904
25311.6519024801,25321.5952092487,25311.6519109547
25313.0267138873,25323.1011077857,25313.0265606164
25314.3442654728,25324.5697322961,25314.3425902133
25315.6018351911,25326.0057798806,25315.5999489379
25316.8044675838,25327.4153417705,25316.7986654207
25317.9438847681,25328.8006288411,25317.9387628114
25319.0269669929,25330.1622179735,25319.0201986792
25320.0527471548,25331.4794161402,25320.0342104966
25321.0164121957,25332.7314205163,25320.9980138193
25321.9264106244,25333.9164271207,25321.9031257961
25322.7740422154,25335.0359064212,25322.7495414637
25323.5659251579,25336.0568758924,25323.5372586114
25324.2967297365,25336.9653658574,25324.266263407
25324.9725598352,25337.7243078583,25324.9365314699
25325.5901685318,25338.1917481586,25325.5480417956
25326.1526324035,25338.8944747477,25326.1007537906
25326.6525815013,25340.2622365054,25326.5945744645
25327.1000912272,25341.1006740292,25327.033829642
25327.4899858586,25341.1365677911,25327.4081156156
25327.8268245171,25340.3674779883,25327.7272501524
25328.1096847047,25340.381197391,25327.9837666258
25328.3465514353,25335.5181255078,25328.1928374988
25328.5372824931,25334.8975763748,25328.3719754581
25328.6886911678,25335.4799749811,25328.5215836388
25328.8097786105,25335.9736008955,25328.6444971733
25328.8986006341,25337.2066032479,25328.7355354765
25328.9669631532,25336.5937438811,25328.8010936056
25329.0093504326,25335.7901405385,25328.8398551567
25329.0342024956,25331.3426465709,25328.8473894699
25329.0415614501,25328.9324641035,25328.8473683541
25328.9730084466,25328.8464991801,25328.8474197989
25328.9654474497,25328.8465034795,25328.847356352
25328.9540411682,25328.846507743,25328.8473494305
25328.9412253188,25328.8465118972,25328.8473199782
25328.931379142,25328.8465128024,25328.8473008754
25328.9205953321,25328.8465127174,25328.8472760995
25328.9125296484,25328.8465127328,25328.8472534305
25328.9051830217,25328.8465128081,25328.8472290846
25328.8365129903,25328.8465127905,25328.847205026
25328.8365129903,25328.846512821,25328.8471803175
25328.8365129903,25328.8465128403,25328.8471554852
25328.8365129903,25328.8465127707,25328.8471303003
25328.8365129903,25328.8465127775,25328.8471049145
25328.8365129903,25328.8465127611,25328.8470792792
25328.8365129903,25328.8465128405,25328.8470534457
25328.8365129903,25328.8465127908,25328.847027409
25328.8365129903,25328.8465127901,25328.8470011918
25328.8365129903,25328.8465127915,25328.8469748008
25328.8365129903,25328.8465127447,25328.8469482488
25328.8365129903,25328.8465127645,25328.8469215435
25328.8365129903,25328.8465127569,25328.8468946936
25328.8365129903,25328.8465128104,25328.8468677071
25328.8365129903,25328.8465127767,25328.8468405901
25328.8365129903,25328.8465127866,25328.8468133493
25328.8365129903,25328.8465127709,25328.8467859912
25328.8365129903,25328.8465127575,25328.8467585205
25328.8365129903,25328.8465127446,25328.846730943
25328.8365129903,25328.8465128002,25328.8467032631
25328.8365129903,25328.8465128004,25328.8466754855
25328.8365129903,25328.8465127195,25328.8466476149
25328.8365129903,25328.8465128503,25328.8466196549
25328.8365129903,25328.8465127696,25328.846591609
25328.8365129903,25328.8465128153,25328.8465634813
25328.8365129903,25328.8465127726,25328.8465352751
25328.8365129903,25328.8465127917,25328.8465069933
25328.8365129903,25328.8465127724,25328.8464786397
25328.8365129903,25328.8465127509,25328.8464502169
25328.8365129903,25328.8465128064,25328.8464217281
25328.8365129903,25328.8465128045,25328.8463931757
25328.8365129903,25328.8465128149,25328.8463645632
25328.8365129903,25328.8465127727,25328.8463358921
25328.8365129903,25328.8465128414,25328.8463071657
25328.8365129903,25328.8465128546,25328.8462783859
25328.8365129903,25328.8465127802,25328.8462495555
25328.8365129903,25328.8465127438,25328.8462206762
25328.8365129903,25328.8465128263,25328.8461917509
25328.8365129903,25328.8465127918,25328.8461627817
25328.8365129903,25328.8465127847,25328.8461337713
25328.8365129903,25328.8465128051,25328.846104721
25328.8365129903,25328.8465128322,25328.8460756332
25328.8365129903,25328.8465127596,25328.8460465097
25328.8365129903,25328.8465128026,25328.8460173525
25328.8365129903,25328.8465127628,25328.8459881635
25328.8365129903,25328.8465128139,25328.8459589442
25328.8365129903,25328.8465128252,25328.8459296966
25328.8365129903,25328.8465127861,25328.8459004226
25328.8365129903,25328.8465127514,25328.8458711234
25328.8365129903,25328.8465128425,25328.8458418013
25328.8365129903,25328.8465128803,25328.8458124579
25328.8365129903,25328.846512799,25328.8457830944
25328.8365129903,25328.8465127716,25328.8457537131
25328.8365129903,25328.8465127916,25328.8457243151
25328.8365129903,25328.8465127945,25328.8456949021
25328.8365129903,25328.8465127339,25328.845665476
25328.8365129903,25328.8465128147,25328.845636038
25328.8365129903,25328.8465127637,25328.8456065901
25328.8365129903,25328.8465127315,25328.8455771329
25328.8365129903,25328.8465128195,25328.8455476687
25328.8365129903,25328.846512768,25328.8455181986
25328.8365129903,25328.8465127929,25328.8454887238
25328.8365129903,25328.8465128129,25328.8454592461
25328.8365129903,25328.8465127744,25328.8454297664
25328.8365129903,25328.8465128523,25328.8454002868
25328.8365129903,25328.8465127604,25328.8453708079
