"n","time","iterations","n_lambdas"
6000,7.79701280593872,2618,500
6500,8.88516759872437,2546,500
7000,9.80222916603088,2619,500
7500,10.8527512550354,2573,500
8000,11.449827671051,2551,500
8500,12.5959739685059,2591,500
9000,13.9069719314575,2599,500
9500,15.6300110816956,2658,500
10000,15.9523394107819,2640,500
10500,16.7245073318481,2636,500
11000,17.8897302150726,2632,500
11500,18.9469289779663,2640,500
12000,19.9141728878021,2611,500
12500,21.6104264259338,2668,500
13000,22.1465265750885,2636,500
13500,22.9073781967163,2601,500
14000,24.1534070968628,2612,500
14500,25.4965643882751,2620,500
15000,27.3873722553253,2712,500
15500,28.829359292984,2725,500
16000,30.4014616012573,2782,500
16500,31.2283697128296,2756,500
17000,32.0392534732819,2743,500
17500,33.5955412387848,2784,500
18000,35.5397453308105,2833,500
18500,36.3875901699066,2819,500
19000,36.8887495994568,2813,500
19500,37.1340420246124,2758,500
20000,39.09517121315,2794,500
